CAR,Município,Área Total (ha),ACP Original,ACP Atual,Anexo,Tabela,Empresa
35458030250558,Santa Bárbara d'Oeste,19.34,ACP 3362/08,ACP 008/18,1,1,Usina Açucareira Furlan S/A
35458030310940,Santa Bárbara d'Oeste,577.36,ACP 3362/08,ACP 008/18,1,1,Usina Açucareira Furlan S/A
35458030310966,Santa Bárbara d'Oeste,262.75,ACP 3362/08,ACP 008/18,1,1,Usina Açucareira Furlan S/A
35016080247311,Americana,18.0,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35104010017365,Capivari,116.65,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35104010022506,Capivari,946.78,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35104010229730,Capivari,26.57,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35104010310968,Capivari,2.38,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35104010310970,Capivari,182.06,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35269020014620,Limeira,44.58,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35269020310974,Limeira,289.19,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35309040310967,Mombuca,45.77,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030165961,Santa Bárbara d'Oeste,13.67,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030213675,Santa Bárbara d'Oeste,72.61,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030228731,Santa Bárbara d'Oeste,63.12,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030247137,Santa Bárbara d'Oeste,2444.59,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030247576,Santa Bárbara d'Oeste,112.46,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030247579,Santa Bárbara d'Oeste,48.11,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030247585,Santa Bárbara d'Oeste,31.71,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030247611,Santa Bárbara d'Oeste,828.94,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030310973,Santa Bárbara d'Oeste,759.08,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030310991,Santa Bárbara d'Oeste,307.03,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030310995,Santa Bárbara d'Oeste,3.46,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030318637,Santa Bárbara d'Oeste,45.95,ACP 3362/08,ACP 008/18,2,1,Agropecuária Furlan S/A
35458030350748,Santa Bárbara d'Oeste,0.0,ACP 3362/08,ACP 008/18,2,2,Agropecuária Furlan S/A
35458030355423,Santa Bárbara d'Oeste,114.5779,ACP 3362/08,ACP 008/18,2,2,Agropecuária Furlan S/A
35387090317544,Piracicaba,27.22,ACP 1588/02,ACP 010/18,1,1,Usina Açucareira Furlan S/A
35387090009400,Piracicaba,502.51,ACP 1588/02,ACP 010/18,2,1,Agropecuária Furlan S/A
35387090009402,Piracicaba,786.53,ACP 1588/02,ACP 010/18,2,1,Agropecuária Furlan S/A
35387090009403,Piracicaba,55.84,ACP 1588/02,ACP 010/18,2,1,Agropecuária Furlan S/A
35387090009502,Piracicaba,1183.4,ACP 1588/02,ACP 010/18,2,1,Agropecuária Furlan S/A
35387090301820,Piracicaba,21.84,ACP 1588/02,ACP 010/18,2,1,Agropecuária Furlan S/A
